iter	MultiClass
0	1.025661363
1	0.832728605
2	0.7239403212
3	0.6512713826
4	0.5995570036
5	0.5619764455
6	0.5369666231
7	0.5199680962
8	0.5066066112
9	0.4950960512
10	0.485445606
11	0.474804476
12	0.4694627687
13	0.4650580352
14	0.4614091703
15	0.4565701702
16	0.4518452314
17	0.4486311485
18	0.4450024855
19	0.4402685744
20	0.4389715032
21	0.4358987209
22	0.4346031455
23	0.4329222238
24	0.4310649763
25	0.4296315028
26	0.42799355
27	0.4262741991
28	0.4248815919
29	0.4241192173
30	0.4220421467
31	0.4207913287
32	0.4197674315
33	0.4179036308
34	0.4169281097
35	0.4153879803
36	0.4142394993
37	0.4134655047
38	0.4122804098
39	0.4109631305
40	0.4098347188
41	0.4087222157
42	0.4080566554
43	0.4066613413
44	0.4059109906
45	0.4041826304
46	0.4028882498
47	0.4013772662
48	0.4005559186
49	0.3991621287
50	0.3981300349
51	0.3971133831
52	0.3957937762
53	0.3945909108
54	0.3933967306
55	0.3928730166
56	0.3921866172
57	0.3913404303
58	0.3902934649
59	0.3896586816
60	0.3883959981
61	0.387512003
62	0.3866704393
63	0.3858535104
64	0.384776585
65	0.3839530559
66	0.3827107266
67	0.382027764
68	0.3812592651
69	0.3804172786
70	0.3798088033
71	0.3792159772
72	0.3787207547
73	0.378215095
74	0.3771987698
75	0.3766215609
76	0.3762227313
77	0.375599061
78	0.3749712465
79	0.3741710114
80	0.3736221495
81	0.3730405897
82	0.3725307643
83	0.3720222993
84	0.3716643282
85	0.3711308737
86	0.3703519223
87	0.369888079
88	0.3694177633
89	0.3686492282
90	0.368135275
91	0.3675564543
92	0.367192304
93	0.366793274
94	0.3663065871
95	0.3656179979
96	0.3650577668
97	0.3643222868
98	0.3635533213
99	0.3628185556
100	0.3624790557
101	0.3616768089
102	0.3612488571
103	0.3608017068
104	0.3600368835
105	0.3593861942
106	0.3581887426
107	0.3579229549
108	0.3570348977
109	0.3565062024
110	0.3558412143
111	0.355543515
112	0.3543821992
113	0.3534133698
114	0.3530890197
115	0.3526455618
116	0.3521077289
117	0.3516614101
118	0.3512119413
119	0.3505956464
120	0.3500099622
121	0.3497822331
122	0.3495014262
123	0.3491196617
124	0.348703548
125	0.3478675014
126	0.3470489597
127	0.3466351598
128	0.3463182385
129	0.3457734077
130	0.3451159994
131	0.3445523187
132	0.3438185267
133	0.3429917541
134	0.3426813458
135	0.3423123218
136	0.3418093594
137	0.3408798831
138	0.3404621961
139	0.3398382748
140	0.3393669465
141	0.3390737749
142	0.3386063724
143	0.3382296611
144	0.3377072856
145	0.3364859666
146	0.3361602539
147	0.3355677344
148	0.3353127402
149	0.334698255
150	0.3340801563
151	0.3332637757
152	0.3329262947
153	0.3327113127
154	0.3322863927
155	0.3317433324
156	0.3312803301
157	0.3307309037
158	0.3304067685
159	0.3297292307
160	0.3294602074
161	0.3289139752
162	0.3284322372
163	0.3281825217
164	0.3275215613
165	0.3273785691
166	0.3271561426
167	0.3266683247
168	0.3264906452
169	0.3260217335
170	0.3254687086
171	0.3250607358
172	0.3247001023
173	0.3242210984
174	0.3238908204
175	0.3233066272
176	0.3225883336
177	0.3218607802
178	0.3213974067
179	0.3209835109
180	0.3202783092
181	0.3199278886
182	0.3192647323
183	0.3189362202
184	0.3184385326
185	0.3180881673
186	0.3178079218
187	0.3174693314
188	0.3171014602
189	0.3167060794
190	0.3165515506
191	0.3163244003
192	0.3156749331
193	0.3152460218
194	0.3150159238
195	0.3146708271
196	0.314413266
197	0.3140985105
198	0.3135961243
199	0.3126615882
200	0.3122085794
201	0.3117853127
202	0.3114817919
203	0.310815777
204	0.3103670547
205	0.3102119839
206	0.3098015218
207	0.3094359939
208	0.3088670827
209	0.3084109282
210	0.3079026103
211	0.3069008399
212	0.3066197877
213	0.3061676065
214	0.3058979009
215	0.3056668043
216	0.3051233053
217	0.3048220706
218	0.3045682876
219	0.304139701
220	0.3036567238
221	0.3031907369
222	0.3024069375
223	0.3020167007
224	0.3014537391
225	0.3012588837
226	0.30064567
227	0.3002399684
228	0.2996118256
229	0.2994206823
230	0.299046355
231	0.2986520721
232	0.2983843168
233	0.2978218795
234	0.2975413892
235	0.2970514447
236	0.2966836887
237	0.2963469557
238	0.2961259444
239	0.295557936
240	0.2949803197
241	0.2941424296
242	0.293475483
243	0.2931881367
244	0.2926202923
245	0.2919234875
246	0.2915739893
247	0.2911901329
248	0.2906623304
249	0.2903494902
250	0.290143469
251	0.289734542
252	0.2894820838
253	0.2891388231
254	0.2885889424
255	0.2881025169
256	0.2875985296
257	0.2873853821
258	0.2871518615
259	0.2869496862
260	0.2864507899
261	0.2859102862
262	0.2853451776
263	0.2851168677
264	0.28501528
265	0.2844276592
266	0.2840441234
267	0.2838638593
268	0.2835179723
269	0.2828808204
270	0.2823901264
271	0.2822726064
272	0.2819883029
273	0.2817315389
274	0.2815703158
275	0.2811306603
276	0.2808669118
277	0.2806236998
278	0.2801890178
279	0.2795589606
280	0.2791986001
281	0.2790293982
282	0.2786478027
283	0.278098363
284	0.2779332174
285	0.2772116889
286	0.2767365087
287	0.2764711776
288	0.2761708612
289	0.2758587951
290	0.275624526
291	0.2755041096
292	0.2753124363
293	0.2748956984
294	0.2744181881
295	0.2737797898
296	0.2734284424
297	0.2732987065
298	0.2730625361
299	0.2727460415
300	0.2724660874
301	0.2722793374
302	0.2717757389
303	0.2715543436
304	0.2712612636
305	0.270831066
306	0.2706428662
307	0.2702253013
308	0.2700184987
309	0.269639914
310	0.2691734298
311	0.2687648843
312	0.2680974127
313	0.2678169753
314	0.2674984152
315	0.2671094575
316	0.2666509787
317	0.2662305296
318	0.2657132272
319	0.2653121693
320	0.2650973953
321	0.2648747245
322	0.2647277072
323	0.2644896359
324	0.2641621981
325	0.2640049945
326	0.2638323864
327	0.26365756
328	0.2633915678
329	0.2630066932
330	0.2629292487
331	0.2626642606
332	0.2624037457
333	0.2620298714
334	0.2617974421
335	0.2613530767
336	0.2610184434
337	0.2607349862
338	0.2605792387
339	0.2603837567
340	0.2600875731
341	0.2596561141
342	0.2593668657
343	0.2590205723
344	0.2583492761
345	0.2581275238
346	0.2578528507
347	0.2577014764
348	0.257632522
349	0.2573534596
350	0.2569053169
351	0.2567225079
352	0.2564583083
353	0.2561643933
354	0.2557161062
355	0.2553712211
356	0.2550190433
357	0.2548813367
358	0.254679221
359	0.2545419154
360	0.2541729327
361	0.2539282471
362	0.2536793908
363	0.2535663866
364	0.2533034081
365	0.2530574171
366	0.2528507605
367	0.2524320795
368	0.2519718963
369	0.2517414577
370	0.2514783998
371	0.2511374792
372	0.2506218564
373	0.25019346
374	0.2499703357
375	0.2497917048
376	0.2492534278
377	0.2487881239
378	0.2484278241
379	0.2482872855
380	0.24792319
381	0.2475368687
382	0.2470687295
383	0.2466913272
384	0.2465121044
385	0.2462871706
386	0.2461581222
387	0.2459964768
388	0.2457425593
389	0.2455160581
390	0.245259
391	0.2450240957
392	0.2447658652
393	0.2445787877
394	0.244139122
395	0.2440586702
396	0.2438077627
397	0.2433868255
398	0.2428138077
399	0.2425268574
400	0.2422586209
401	0.2419877899
402	0.2417645522
403	0.24157243
404	0.2413341097
405	0.2410505525
406	0.240860986
407	0.2406233272
408	0.2403849417
409	0.2402183264
410	0.2397623712
411	0.2395131791
412	0.2394089565
413	0.2392597532
414	0.2389808032
415	0.2386491945
416	0.2385157566
417	0.2382748579
418	0.2380476137
419	0.2377059738
420	0.2375268242
421	0.2373732209
422	0.2372804657
423	0.2370815371
424	0.2367839736
425	0.2364922331
426	0.2360976271
427	0.2358240815
428	0.2357231118
429	0.2354408277
430	0.2353204728
431	0.2351420782
432	0.2347035082
433	0.2345220884
434	0.2343215868
435	0.2339840145
436	0.2338114067
437	0.2335836997
438	0.2335376218
439	0.2333887723
440	0.2332740109
441	0.2331559555
442	0.2328530835
443	0.2325180238
444	0.2324489309
445	0.2321685227
446	0.231818612
447	0.2313371097
448	0.2309773377
449	0.2307338304
450	0.230291054
451	0.2300793414
452	0.2299068236
453	0.2296227871
454	0.2295345418
455	0.2294328067
456	0.2291515625
457	0.2289146493
458	0.2286357776
459	0.2284828494
460	0.2282145001
461	0.2278460426
462	0.2277352419
463	0.22748305
464	0.2272870516
465	0.2270518319
466	0.226755575
467	0.2264570606
468	0.2263134039
469	0.2261239091
470	0.2259506646
471	0.2256717118
472	0.2255137356
473	0.2253373646
474	0.2251506505
475	0.2250627969
476	0.2248256603
477	0.2246259969
478	0.2241816295
479	0.2239821257
480	0.2237433681
481	0.223453632
482	0.2231742122
483	0.2228921545
484	0.2227278756
485	0.2226048184
486	0.2222309054
487	0.2219669547
488	0.2216931047
489	0.2214205705
490	0.2211234912
491	0.2208313647
492	0.2206552739
493	0.220397261
494	0.2200580937
495	0.2197237395
496	0.2195178491
497	0.2193426145
498	0.2189564981
499	0.2187243937
500	0.218588326
501	0.2185051022
502	0.2181788962
503	0.2178620788
504	0.217733705
505	0.2174919733
506	0.2173508842
507	0.2171579507
508	0.21696657
509	0.2168126226
510	0.2165972885
511	0.2162970123
512	0.2161740427
513	0.2159564131
514	0.2157646331
515	0.2156155386
516	0.2151262904
517	0.2147649321
518	0.2145441601
519	0.2142799564
520	0.2139860224
521	0.2137143519
522	0.2134578958
523	0.2133971311
524	0.2131835892
525	0.2128804253
526	0.2127361107
527	0.2124192993
528	0.2122395523
529	0.2120558544
530	0.2119554374
531	0.2118555929
532	0.21166487
533	0.2113343089
534	0.2111941396
535	0.2108501659
536	0.2106663504
537	0.2105317956
538	0.2104141155
539	0.2101977183
540	0.2100207053
541	0.2096875835
542	0.2095566056
543	0.209456281
544	0.2091762643
545	0.2088662183
546	0.2088163422
547	0.2086572871
548	0.2085780759
549	0.2083994125
550	0.2083005129
551	0.208132731
552	0.2080191915
553	0.2078134832
554	0.2076676437
555	0.207595035
556	0.2073243017
557	0.2070696184
558	0.2069186754
559	0.2065665756
560	0.2064763769
561	0.2061173726
562	0.2060107917
563	0.2057861441
564	0.2054138217
565	0.20528876
566	0.2050429925
567	0.2048146631
568	0.2046268086
569	0.2043592218
570	0.2042834971
571	0.2039396966
572	0.2037098793
573	0.2036103329
574	0.2033690498
575	0.2030549956
576	0.2029702697
577	0.2026186175
578	0.2024930535
579	0.2022008071
580	0.2019068921
581	0.2016513935
582	0.2014703524
583	0.2010901643
584	0.200907454
585	0.2007031366
586	0.200540307
587	0.2004235184
588	0.200227367
589	0.2000851052
590	0.1998614975
591	0.1997584631
592	0.1995814163
593	0.1992037618
594	0.1989386978
595	0.198692434
596	0.198546614
597	0.198374089
598	0.1982763547
599	0.1980325453
600	0.1978924601
601	0.1977875045
602	0.197610032
603	0.197207915
604	0.1968994664
605	0.1967111587
606	0.1964925765
607	0.1962723973
608	0.1961535369
609	0.1959491685
610	0.1956882831
611	0.1955519856
612	0.1953892847
613	0.1952736046
614	0.1950643585
615	0.1948147076
616	0.1945955445
617	0.1944599693
618	0.1943661869
619	0.1941470025
620	0.1940328466
621	0.1936943473
622	0.1935046663
623	0.1933293402
624	0.1932471508
625	0.19305732
626	0.1929232954
627	0.1927312472
628	0.1925895642
629	0.1924415841
630	0.1921858097
631	0.1919587516
632	0.191667454
633	0.1915733824
634	0.1914606579
635	0.1913282265
636	0.1912314884
637	0.1910015355
638	0.1908998026
639	0.1905097227
640	0.1903647104
641	0.1901709132
642	0.1899623031
643	0.1897421004
644	0.189554347
645	0.1893965499
646	0.1892031693
647	0.1889371013
648	0.188767878
649	0.1885680323
650	0.1884974092
651	0.1882640371
652	0.188076741
653	0.1879105509
654	0.1874198991
655	0.1872726843
656	0.1871054257
657	0.186915352
658	0.1865609791
659	0.1862436452
660	0.1861385369
661	0.185949758
662	0.1858290363
663	0.1856591671
664	0.1855084825
665	0.185130506
666	0.1848816007
667	0.1847520987
668	0.1846312559
669	0.1845275814
670	0.184412517
671	0.1842961985
672	0.1840322022
673	0.1837619253
674	0.1836466407
675	0.1834783032
676	0.1832753436
677	0.1831090311
678	0.1829729055
679	0.1828377345
680	0.1826053853
681	0.1824883081
682	0.1824001951
683	0.182323895
684	0.1822417053
685	0.182052495
686	0.1818984924
687	0.1818585352
688	0.1817238263
689	0.1815506062
690	0.1814031632
691	0.1811220539
692	0.1810091831
693	0.180883904
694	0.1808385648
695	0.1806919422
696	0.1805904063
697	0.180433638
698	0.1803704414
699	0.1802317882
700	0.1801192824
701	0.1799504563
702	0.1798408179
703	0.1797521412
704	0.1796398902
705	0.1795818292
706	0.1794470562
707	0.1793369963
708	0.1792145071
709	0.1790482588
710	0.1787819618
711	0.1786848996
712	0.1786193744
713	0.1784229364
714	0.1780711305
715	0.1778729869
716	0.1776747195
717	0.177530437
718	0.177429464
719	0.1773240007
720	0.1771842993
721	0.1769424686
722	0.1766634588
723	0.1766361516
724	0.1763189754
725	0.1761851623
726	0.1760345562
727	0.1758583644
728	0.1757270698
729	0.1754133417
730	0.175329058
731	0.1751813172
732	0.1750850306
733	0.1747375179
734	0.1745948952
735	0.1744458892
736	0.1742937
737	0.1740100078
738	0.1738838453
739	0.1736777824
740	0.1734784158
741	0.173287764
742	0.1731630619
743	0.1729368452
744	0.1728291767
745	0.172643952
746	0.1725758879
747	0.1724694579
748	0.1722996259
749	0.1721507215
750	0.1719646665
751	0.17183113
752	0.1717576049
753	0.1714513469
754	0.1712922713
755	0.171124184
756	0.1710223656
757	0.1707695648
758	0.1706320288
759	0.1703899833
760	0.1701840379
761	0.1699973194
762	0.1698309961
763	0.1696916586
764	0.1694785099
765	0.1693604772
766	0.1692976788
767	0.1690178422
768	0.1688924948
769	0.168813943
770	0.1686621329
771	0.1684812249
772	0.1682136899
773	0.1681343851
774	0.1679459576
775	0.1678674646
